Instelling;fgrfunctie;fte_count;year;quarter;salaryscale
Justitie en Veiligheid;Projectleider;0;2013;3;12
Justitie en Veiligheid;Projectleider;0;2013;3;13
Justitie en Veiligheid;Senior Adviseur Bedrijfsvoerin;0;2013;3;11
Justitie en Veiligheid;Senior Adviseur Bedrijfsvoerin;0;2013;3;12
Justitie en Veiligheid;Senior Adviseur Bedrijfsvoerin;0;2013;3;13
Justitie en Veiligheid;Senior Inspecteur;0;2013;3;11
Justitie en Veiligheid;Senior Inspecteur;0;2013;3;12
Justitie en Veiligheid;Senior Inspecteur;0;2013;3;13
Justitie en Veiligheid;Strategisch Adviseur;0;2013;3;15
Justitie en Veiligheid;Strategisch Adviseur;0;2013;3;16
Justitie en Veiligheid;Strategisch Beleidsmedewerker;0;2013;3;15
Justitie en Veiligheid;Strategisch Beleidsmedewerker;0;2013;3;16
Justitie en Veiligheid;Strategisch Inspecteur;0;2013;3;15
Justitie en Veiligheid;Topmanager;0;2013;3;15
Justitie en Veiligheid;Topmanager;0;2013;3;16
Justitie en Veiligheid;Topmanager;0;2013;3;17
Justitie en Veiligheid;Topmanager;0;2013;3;18
Justitie en Veiligheid;Topwetenschappelijk Medewerker;0;2013;3;15
Justitie en Veiligheid;Topwetenschappelijk Medewerker;0;2013;3;17
Justitie en Veiligheid;Trainer;0;2013;3;8
Justitie en Veiligheid;Trainer;0;2013;3;9
Justitie en Veiligheid;Trainer;0;2013;3;10
Justitie en Veiligheid;Trainer;0;2013;3;12
Justitie en Veiligheid;Wetenschappelijk Medewerker;0;2013;3;10
Justitie en Veiligheid;Wetenschappelijk Medewerker;0;2013;3;11
Justitie en Veiligheid;Wetenschappelijk Medewerker;0;2013;3;12
Justitie en Veiligheid;Wetenschappelijk Medewerker;0;2013;3;13
Justitie en Veiligheid;Zorgprofessional;0;2013;3;6
Justitie en Veiligheid;Zorgprofessional;0;2013;3;7
Justitie en Veiligheid;Zorgprofessional;0;2013;3;8
Justitie en Veiligheid;Zorgprofessional;0;2013;3;9
Justitie en Veiligheid;Zorgprofessional;0;2013;3;10
Landbouw, Natuur en Voedselkwaliteit;(Senior) Adviseur;0;2013;3;11
Landbouw, Natuur en Voedselkwaliteit;(Senior) Adviseur;0;2013;3;12
Landbouw, Natuur en Voedselkwaliteit;(Senior) Adviseur;0;2013;3;13
Landbouw, Natuur en Voedselkwaliteit;(Senior) Beleidsmedewerker;0;2013;3;11
Landbouw, Natuur en Voedselkwaliteit;(Senior) Beleidsmedewerker;0;2013;3;12
Landbouw, Natuur en Voedselkwaliteit;(Senior) Beleidsmedewerker;0;2013;3;13
Landbouw, Natuur en Voedselkwaliteit;Adviseur Bedrijfsvoering;0;2013;3;8
Landbouw, Natuur en Voedselkwaliteit;Adviseur Bedrijfsvoering;0;2013;3;9
Landbouw, Natuur en Voedselkwaliteit;Adviseur Bedrijfsvoering;0;2013;3;10
Landbouw, Natuur en Voedselkwaliteit;Adviseur Bedrijfsvoering;0;2013;3;11
Landbouw, Natuur en Voedselkwaliteit;Beleidsondersteuner;0;2013;3;8
Landbouw, Natuur en Voedselkwaliteit;Beleidsondersteuner;0;2013;3;9
Landbouw, Natuur en Voedselkwaliteit;Beleidsondersteuner;0;2013;3;10
Landbouw, Natuur en Voedselkwaliteit;Co�rdinerend Beleidsmedewerker;0;2013;3;13
Landbouw, Natuur en Voedselkwaliteit;Co�rdinerend Beleidsmedewerker;0;2013;3;14
Landbouw, Natuur en Voedselkwaliteit;Co�rdinerend Beleidsmedewerker;0;2013;3;15
Landbouw, Natuur en Voedselkwaliteit;Inspecteur/Medewerker Toezicht;0;2013;3;8
Landbouw, Natuur en Voedselkwaliteit;Inspecteur/Medewerker Toezicht;0;2013;3;9
Landbouw, Natuur en Voedselkwaliteit;Inspecteur/Medewerker Toezicht;0;2013;3;10
Landbouw, Natuur en Voedselkwaliteit;Inspecteur/Medewerker Toezicht;0;2013;3;11
Landbouw, Natuur en Voedselkwaliteit;Managementondersteuner;0;2013;3;5
Landbouw, Natuur en Voedselkwaliteit;Managementondersteuner;0;2013;3;6
Landbouw, Natuur en Voedselkwaliteit;Managementondersteuner;0;2013;3;7
Landbouw, Natuur en Voedselkwaliteit;Managementondersteuner;0;2013;3;8
Landbouw, Natuur en Voedselkwaliteit;Medewerker Administratie;0;2013;3;5
Landbouw, Natuur en Voedselkwaliteit;Medewerker Administratie;0;2013;3;6
Landbouw, Natuur en Voedselkwaliteit;Medewerker Administratie;0;2013;3;7
Landbouw, Natuur en Voedselkwaliteit;Medewerker Administratie;0;2013;3;8
Landbouw, Natuur en Voedselkwaliteit;Medewerker Advisering;0;2013;3;8
Landbouw, Natuur en Voedselkwaliteit;Medewerker Advisering;0;2013;3;9
Landbouw, Natuur en Voedselkwaliteit;Medewerker Advisering;0;2013;3;10
Landbouw, Natuur en Voedselkwaliteit;Medewerker Advisering;0;2013;3;11
Landbouw, Natuur en Voedselkwaliteit;Medewerker Vervoer;0;2013;3;4
Landbouw, Natuur en Voedselkwaliteit;Onderzoeksmedewerker;0;2013;3;8
Landbouw, Natuur en Voedselkwaliteit;Onderzoeksmedewerker;0;2013;3;10
Landbouw, Natuur en Voedselkwaliteit;Onderzoeksondersteuner;0;2013;3;4
Landbouw, Natuur en Voedselkwaliteit;Onderzoeksondersteuner;0;2013;3;6
Landbouw, Natuur en Voedselkwaliteit;Onderzoeksondersteuner;0;2013;3;7
Landbouw, Natuur en Voedselkwaliteit;Onderzoeksondersteuner;0;2013;3;8
Landbouw, Natuur en Voedselkwaliteit;Senior Adviseur Bedrijfsvoerin;0;2013;3;11
Landbouw, Natuur en Voedselkwaliteit;Senior Adviseur Bedrijfsvoerin;0;2013;3;12
Landbouw, Natuur en Voedselkwaliteit;Senior Adviseur Bedrijfsvoerin;0;2013;3;13
Landbouw, Natuur en Voedselkwaliteit;Senior Inspecteur;0;2013;3;11
Landbouw, Natuur en Voedselkwaliteit;Senior Inspecteur;0;2013;3;12
Landbouw, Natuur en Voedselkwaliteit;Strategisch Adviseur;0;2013;3;15
Landbouw, Natuur en Voedselkwaliteit;Strategisch Inspecteur;0;2013;3;16
Landbouw, Natuur en Voedselkwaliteit;Wetenschappelijk Medewerker;0;2013;3;12
Algemene Zaken;(Senior) Adviseur;18.028;2013;4;11
Algemene Zaken;(Senior) Adviseur;38.876;2013;4;12
Algemene Zaken;(Senior) Adviseur;22.757;2013;4;13
Algemene Zaken;Adviseur Bedrijfsvoering;15.78;2013;4;8
Algemene Zaken;Adviseur Bedrijfsvoering;6.167;2013;4;9
Algemene Zaken;Adviseur Bedrijfsvoering;15.333;2013;4;10
Algemene Zaken;Adviseur Bedrijfsvoering;3.75;2013;4;11
Algemene Zaken;Commissiesecretaris;1;2013;4;13
Algemene Zaken;Managementondersteuner;0;2013;4;5
Algemene Zaken;Managementondersteuner;5.444;2013;4;6
Algemene Zaken;Managementondersteuner;18.476;2013;4;7
Algemene Zaken;Managementondersteuner;1.4;2013;4;8
Algemene Zaken;Managementondersteuner;4.111;2013;4;9
Algemene Zaken;Managementondersteuner;2;2013;4;10
Algemene Zaken;Medewerker Administratie;0;2013;4;7
Algemene Zaken;Medewerker Administratie;2.333;2013;4;8
Algemene Zaken;Medewerker Advisering;0.889;2013;4;9
Algemene Zaken;Medewerker Advisering;0;2013;4;10
Algemene Zaken;Medewerker Communicatie;0.889;2013;4;6
Algemene Zaken;Medewerker Communicatie;0.8;2013;4;8
Algemene Zaken;Medewerker Vervoer;3;2013;4;4
Algemene Zaken;Middenmanager;0;2013;4;12
Algemene Zaken;Middenmanager;7.944;2013;4;13
Algemene Zaken;Middenmanager;5.761;2013;4;14
Algemene Zaken;Middenmanager;3;2013;4;15
Algemene Zaken;Onderzoeksmedewerker;1;2013;4;10
Algemene Zaken;Operationeel Manager;1;2013;4;8
Algemene Zaken;Operationeel Manager;1;2013;4;9
Algemene Zaken;Operationeel Manager;1.889;2013;4;10
Algemene Zaken;Operationeel Manager;1;2013;4;11
Algemene Zaken;Operationeel Manager;2;2013;4;12
Algemene Zaken;Project-/Programmamanager;0;2013;4;12
Algemene Zaken;Project-/Programmamanager;1;2013;4;14
Algemene Zaken;Project-/Programmamanager;1;2013;4;15
Algemene Zaken;Projectleider;0;2013;4;11
Algemene Zaken;Projectleider;3;2013;4;12
Algemene Zaken;Projectleider;3.944;2013;4;13
Algemene Zaken;Senior Adviseur Bedrijfsvoerin;5.056;2013;4;11
Algemene Zaken;Senior Adviseur Bedrijfsvoerin;11.889;2013;4;12
Algemene Zaken;Senior Adviseur Bedrijfsvoerin;0;2013;4;13
Algemene Zaken;Strategisch Adviseur;1.111;2013;4;15
Algemene Zaken;Strategisch Adviseur;6.944;2013;4;16
Algemene Zaken;Topmanager;1;2013;4;15
Algemene Zaken;Topmanager;3.056;2013;4;16
Algemene Zaken;Topmanager;2.056;2013;4;17
Algemene Zaken;Topmanager;1;2013;4;18
Algemene Zaken;Wetenschappelijk Medewerker;14.278;2013;4;12
Binnenlandse Zaken en Koninkrijksrelaties;(Inrichtings)beveiliger;0;2013;4;4
Binnenlandse Zaken en Koninkrijksrelaties;(Inrichtings)beveiliger;0;2013;4;5
Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Adviseur;113.499;2013;4;11
Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Adviseur;174.444;2013;4;12
Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Adviseur;42.03;2013;4;13
Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Beleidsmedewerker;130.173;2013;4;11
Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Beleidsmedewerker;140.064;2013;4;12
Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Beleidsmedewerker;25.992;2013;4;13
Binnenlandse Zaken en Koninkrijksrelaties;Adviseur Bedrijfsvoering;46.447;2013;4;8
Binnenlandse Zaken en Koninkrijksrelaties;Adviseur Bedrijfsvoering;265.999;2013;4;9
Binnenlandse Zaken en Koninkrijksrelaties;Adviseur Bedrijfsvoering;286.292;2013;4;10
Binnenlandse Zaken en Koninkrijksrelaties;Adviseur Bedrijfsvoering;175.971;2013;4;11
Binnenlandse Zaken en Koninkrijksrelaties;Beleidsondersteuner;7.695;2013;4;8
Binnenlandse Zaken en Koninkrijksrelaties;Beleidsondersteuner;13.834;2013;4;9
Binnenlandse Zaken en Koninkrijksrelaties;Beleidsondersteuner;12.611;2013;4;10
Binnenlandse Zaken en Koninkrijksrelaties;Beleidsondersteuner;0;2013;4;11
Binnenlandse Zaken en Koninkrijksrelaties;Commissiesecretaris;13.522;2013;4;9
Binnenlandse Zaken en Koninkrijksrelaties;Commissiesecretaris;2.8;2013;4;10
Binnenlandse Zaken en Koninkrijksrelaties;Co�rdinerend Beleidsmedewerker;84.478;2013;4;13
Binnenlandse Zaken en Koninkrijksrelaties;Co�rdinerend Beleidsmedewerker;44.477;2013;4;14
Binnenlandse Zaken en Koninkrijksrelaties;Co�rdinerend Beleidsmedewerker;4.167;2013;4;15
Binnenlandse Zaken en Koninkrijksrelaties;Deelprojectleider;5.567;2013;4;9
Binnenlandse Zaken en Koninkrijksrelaties;Deelprojectleider;8.323;2013;4;10
Binnenlandse Zaken en Koninkrijksrelaties;Deelprojectleider;0;2013;4;11
Binnenlandse Zaken en Koninkrijksrelaties;Expert Informatievoorziening;0;2013;4;11
Binnenlandse Zaken en Koninkrijksrelaties;Expert Informatievoorziening;0;2013;4;12
Binnenlandse Zaken en Koninkrijksrelaties;Expert Informatievoorziening;0;2013;4;13
Binnenlandse Zaken en Koninkrijksrelaties;Forensisch Therapeutisch Werke;0;2013;4;7
Binnenlandse Zaken en Koninkrijksrelaties;Forensisch Therapeutisch Werke;0;2013;4;8
Binnenlandse Zaken en Koninkrijksrelaties;Managementondersteuner;6.501;2013;4;5
Binnenlandse Zaken en Koninkrijksrelaties;Managementondersteuner;62.362;2013;4;6
Binnenlandse Zaken en Koninkrijksrelaties;Managementondersteuner;53.649;2013;4;7
Binnenlandse Zaken en Koninkrijksrelaties;Managementondersteuner;26.366;2013;4;8
Binnenlandse Zaken en Koninkrijksrelaties;Managementondersteuner;5.861;2013;4;9
Binnenlandse Zaken en Koninkrijksrelaties;Managementondersteuner;4.75;2013;4;10
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Administratie;5.348;2013;4;4
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Administratie;12.925;2013;4;5
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Administratie;31.075;2013;4;6
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Administratie;140.384;2013;4;7
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Administratie;189.92;2013;4;8
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Advisering;1.584;2013;4;8
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Advisering;3.55;2013;4;9
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Advisering;78.64;2013;4;10
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Advisering;32.431;2013;4;11
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Beveiliging;0;2013;4;3
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Beveiliging;24;2013;4;4
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Beveiliging;47.056;2013;4;5
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Beveiliging;0;2013;4;6
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Communicatie;0;2013;4;7
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Communicatie;2.889;2013;4;8
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Vervoer;0;2013;4;3
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Vervoer;73.673;2013;4;4
Binnenlandse Zaken en Koninkrijksrelaties;Medewerker Vervoer;0;2013;4;5
Binnenlandse Zaken en Koninkrijksrelaties;Middenmanager;21.86;2013;4;12
Binnenlandse Zaken en Koninkrijksrelaties;Middenmanager;55.078;2013;4;13
Binnenlandse Zaken en Koninkrijksrelaties;Middenmanager;70.756;2013;4;14
Binnenlandse Zaken en Koninkrijksrelaties;Middenmanager;73.592;2013;4;15
Binnenlandse Zaken en Koninkrijksrelaties;Middenmanager;2;2013;4;16
Binnenlandse Zaken en Koninkrijksrelaties;Operationeel Manager;22.112;2013;4;7
Binnenlandse Zaken en Koninkrijksrelaties;Operationeel Manager;3.222;2013;4;8
Binnenlandse Zaken en Koninkrijksrelaties;Operationeel Manager;0;2013;4;9
Binnenlandse Zaken en Koninkrijksrelaties;Operationeel Manager;54.588;2013;4;10
Binnenlandse Zaken en Koninkrijksrelaties;Operationeel Manager;8.556;2013;4;11
Binnenlandse Zaken en Koninkrijksrelaties;Operationeel Manager;21.222;2013;4;12
Binnenlandse Zaken en Koninkrijksrelaties;Operationeel Manager;0;2013;4;13
Binnenlandse Zaken en Koninkrijksrelaties;Project-/Programmadirecteur;1;2013;4;15
Binnenlandse Zaken en Koninkrijksrelaties;Project-/Programmadirecteur;9.9;2013;4;16
Binnenlandse Zaken en Koninkrijksrelaties;Project-/Programmadirecteur;2.111;2013;4;17
Binnenlandse Zaken en Koninkrijksrelaties;Project-/Programmamanager;0;2013;4;12
Binnenlandse Zaken en Koninkrijksrelaties;Project-/Programmamanager;41.539;2013;4;13
Binnenlandse Zaken en Koninkrijksrelaties;Project-/Programmamanager;60.834;2013;4;14
Binnenlandse Zaken en Koninkrijksrelaties;Project-/Programmamanager;31.434;2013;4;15
Binnenlandse Zaken en Koninkrijksrelaties;Projectleider;0;2013;4;9
Binnenlandse Zaken en Koninkrijksrelaties;Projectleider;0;2013;4;10
Binnenlandse Zaken en Koninkrijksrelaties;Projectleider;31.429;2013;4;11
Binnenlandse Zaken en Koninkrijksrelaties;Projectleider;49.408;2013;4;12
Binnenlandse Zaken en Koninkrijksrelaties;Projectleider;32.954;2013;4;13
Binnenlandse Zaken en Koninkrijksrelaties;Senior Adviseur Bedrijfsvoerin;89.914;2013;4;11
Binnenlandse Zaken en Koninkrijksrelaties;Senior Adviseur Bedrijfsvoerin;279.871;2013;4;12
Binnenlandse Zaken en Koninkrijksrelaties;Senior Adviseur Bedrijfsvoerin;54.813;2013;4;13
Binnenlandse Zaken en Koninkrijksrelaties;Strategisch Adviseur;3.111;2013;4;15
Binnenlandse Zaken en Koninkrijksrelaties;Strategisch Adviseur;0;2013;4;16
Binnenlandse Zaken en Koninkrijksrelaties;Strategisch Beleidsmedewerker;2;2013;4;15
Binnenlandse Zaken en Koninkrijksrelaties;Topmanager;3.056;2013;4;15
Binnenlandse Zaken en Koninkrijksrelaties;Topmanager;22.168;2013;4;16
Binnenlandse Zaken en Koninkrijksrelaties;Topmanager;30.751;2013;4;17
Binnenlandse Zaken en Koninkrijksrelaties;Topmanager;5.767;2013;4;18
Binnenlandse Zaken en Koninkrijksrelaties;Topmanager;0;2013;4;19
Binnenlandse Zaken en Koninkrijksrelaties;Trainer;0;2013;4;10
Binnenlandse Zaken en Koninkrijksrelaties;Trainer;5.584;2013;4;12
Binnenlandse Zaken en Koninkrijksrelaties;Wetenschappelijk Medewerker;0;2013;4;10
Binnenlandse Zaken en Koninkrijksrelaties;Wetenschappelijk Medewerker;0.944;2013;4;11
Binnenlandse Zaken en Koninkrijksrelaties;Wetenschappelijk Medewerker;0;2013;4;12
Buitenlandse Zaken;(Senior) Adviseur;0;2013;4;11
Buitenlandse Zaken;(Senior) Adviseur;1;2013;4;12
Buitenlandse Zaken;(Senior) Adviseur;0;2013;4;13
Buitenlandse Zaken;(Senior) Beleidsmedewerker;13.789;2013;4;11
Buitenlandse Zaken;(Senior) Beleidsmedewerker;30.373;2013;4;12
Buitenlandse Zaken;(Senior) Beleidsmedewerker;17.411;2013;4;13
Buitenlandse Zaken;Adviseur Bedrijfsvoering;0;2013;4;8
Buitenlandse Zaken;Adviseur Bedrijfsvoering;0;2013;4;9
Buitenlandse Zaken;Adviseur Bedrijfsvoering;0;2013;4;10
Buitenlandse Zaken;Adviseur Bedrijfsvoering;0;2013;4;11
Buitenlandse Zaken;Beleidsondersteuner;2.666;2013;4;8
Buitenlandse Zaken;Beleidsondersteuner;8.889;2013;4;9
Buitenlandse Zaken;Beleidsondersteuner;0;2013;4;10
Buitenlandse Zaken;Beleidsondersteuner;0;2013;4;11
Buitenlandse Zaken;Co�rdinerend Beleidsmedewerker;5.889;2013;4;13
Buitenlandse Zaken;Co�rdinerend Beleidsmedewerker;4.917;2013;4;14
Buitenlandse Zaken;Co�rdinerend Beleidsmedewerker;1;2013;4;15
Buitenlandse Zaken;Deelprojectleider;0;2013;4;9
Buitenlandse Zaken;Deelprojectleider;0;2013;4;10
Buitenlandse Zaken;Deelprojectleider;0;2013;4;11
Buitenlandse Zaken;Expert Informatievoorziening;0;2013;4;12
Buitenlandse Zaken;Expert Informatievoorziening;0;2013;4;13
Buitenlandse Zaken;Managementondersteuner;3.31;2013;4;6
Buitenlandse Zaken;Managementondersteuner;4.898;2013;4;7
Buitenlandse Zaken;Managementondersteuner;1;2013;4;8
Buitenlandse Zaken;Managementondersteuner;0;2013;4;9
Buitenlandse Zaken;Managementondersteuner;0;2013;4;10
Buitenlandse Zaken;Medewerker Administratie;0;2013;4;6
Buitenlandse Zaken;Medewerker Administratie;0;2013;4;7
Buitenlandse Zaken;Medewerker Administratie;0;2013;4;8
Buitenlandse Zaken;Medewerker Advisering;0;2013;4;9
Buitenlandse Zaken;Medewerker Advisering;0;2013;4;10
Buitenlandse Zaken;Medewerker Advisering;0;2013;4;11
Buitenlandse Zaken;Medewerker Communicatie;0;2013;4;8
Buitenlandse Zaken;Medewerker Vervoer;0;2013;4;4
Buitenlandse Zaken;Middenmanager;0;2013;4;12
Buitenlandse Zaken;Middenmanager;0;2013;4;13
Buitenlandse Zaken;Middenmanager;2;2013;4;14
Buitenlandse Zaken;Middenmanager;2.056;2013;4;15
Buitenlandse Zaken;Middenmanager;0;2013;4;16
Buitenlandse Zaken;Onderzoeksmedewerker;0;2013;4;9
Buitenlandse Zaken;Operationeel Manager;0;2013;4;8
Buitenlandse Zaken;Operationeel Manager;0;2013;4;9
Buitenlandse Zaken;Operationeel Manager;0;2013;4;10
Buitenlandse Zaken;Operationeel Manager;0;2013;4;11
Buitenlandse Zaken;Operationeel Manager;0;2013;4;12
Buitenlandse Zaken;Operationeel Manager;0;2013;4;13
Buitenlandse Zaken;Project-/Programmadirecteur;0;2013;4;17
Buitenlandse Zaken;Project-/Programmamanager;0;2013;4;13
Buitenlandse Zaken;Project-/Programmamanager;0;2013;4;14
Buitenlandse Zaken;Project-/Programmamanager;0;2013;4;15
Buitenlandse Zaken;Projectleider;0;2013;4;11
Buitenlandse Zaken;Projectleider;0;2013;4;12
Buitenlandse Zaken;Projectleider;0;2013;4;13
Buitenlandse Zaken;Senior Adviseur Bedrijfsvoerin;0;2013;4;11
Buitenlandse Zaken;Senior Adviseur Bedrijfsvoerin;1;2013;4;12
Buitenlandse Zaken;Senior Adviseur Bedrijfsvoerin;0;2013;4;13
Buitenlandse Zaken;Strategisch Adviseur;0;2013;4;15
Buitenlandse Zaken;Strategisch Adviseur;2.056;2013;4;16
Buitenlandse Zaken;Strategisch Beleidsmedewerker;0;2013;4;15
Buitenlandse Zaken;Strategisch Beleidsmedewerker;1;2013;4;16
Buitenlandse Zaken;Topmanager;0;2013;4;15
Buitenlandse Zaken;Topmanager;1.955;2013;4;16
Buitenlandse Zaken;Topmanager;3;2013;4;17
Buitenlandse Zaken;Topmanager;1;2013;4;18
Buitenlandse Zaken;Trainer;0;2013;4;10
Buitenlandse Zaken;Trainer;0;2013;4;12
Buitenlandse Zaken;Wetenschappelijk Medewerker;0;2013;4;11
Buitenlandse Zaken;Wetenschappelijk Medewerker;0;2013;4;12
Buitenlandse Zaken;Wetenschappelijk Medewerker;0;2013;4;13
Economische Zaken;(Senior) Adviseur;168.668;2013;4;11
Economische Zaken;(Senior) Adviseur;144.969;2013;4;12
Economische Zaken;(Senior) Adviseur;52.126;2013;4;13
Economische Zaken;(Senior) Beleidsmedewerker;242.192;2013;4;11
Economische Zaken;(Senior) Beleidsmedewerker;358.4;2013;4;12
Economische Zaken;(Senior) Beleidsmedewerker;135.701;2013;4;13
Economische Zaken;Adviseur Bedrijfsvoering;48.313;2013;4;8
Economische Zaken;Adviseur Bedrijfsvoering;206.429;2013;4;9
Economische Zaken;Adviseur Bedrijfsvoering;298.524;2013;4;10
Economische Zaken;Adviseur Bedrijfsvoering;170.036;2013;4;11
Economische Zaken;Beleidsondersteuner;5.156;2013;4;8
Economische Zaken;Beleidsondersteuner;19.877;2013;4;9
Economische Zaken;Beleidsondersteuner;14.751;2013;4;10
Economische Zaken;Beleidsondersteuner;3;2013;4;11
Economische Zaken;Commissiesecretaris;0.875;2013;4;8
Economische Zaken;Commissiesecretaris;0.889;2013;4;9
Economische Zaken;Commissiesecretaris;0;2013;4;12
Economische Zaken;Commissiesecretaris;0;2013;4;13
Economische Zaken;Co�rdinerend Beleidsmedewerker;119.685;2013;4;13
Economische Zaken;Co�rdinerend Beleidsmedewerker;77.622;2013;4;14
Economische Zaken;Co�rdinerend Beleidsmedewerker;4.7;2013;4;15
Economische Zaken;Deelprojectleider;1;2013;4;9
Economische Zaken;Deelprojectleider;1.889;2013;4;10
Economische Zaken;Deelprojectleider;0;2013;4;11
Economische Zaken;Inspecteur/Medewerker Toezicht;94.525;2013;4;8
Economische Zaken;Inspecteur/Medewerker Toezicht;571.964;2013;4;9
Economische Zaken;Inspecteur/Medewerker Toezicht;224.076;2013;4;10
Economische Zaken;Inspecteur/Medewerker Toezicht;16.003;2013;4;11
Economische Zaken;Managementondersteuner;34.92;2013;4;5
Economische Zaken;Managementondersteuner;182.408;2013;4;6
Economische Zaken;Managementondersteuner;82.626;2013;4;7
Economische Zaken;Managementondersteuner;20.056;2013;4;8
Economische Zaken;Managementondersteuner;5.481;2013;4;9
Economische Zaken;Managementondersteuner;2.75;2013;4;10
Economische Zaken;Medewerker Administratie;3.056;2013;4;4
Economische Zaken;Medewerker Administratie;3.361;2013;4;5
Economische Zaken;Medewerker Administratie;23.899;2013;4;6
Economische Zaken;Medewerker Administratie;83.392;2013;4;7
Economische Zaken;Medewerker Administratie;53.257;2013;4;8
Economische Zaken;Medewerker Advisering;3.416;2013;4;8
Economische Zaken;Medewerker Advisering;31.059;2013;4;9
Economische Zaken;Medewerker Advisering;105.078;2013;4;10
Economische Zaken;Medewerker Advisering;15.861;2013;4;11
Economische Zaken;Medewerker Communicatie;0;2013;4;6
Economische Zaken;Medewerker Communicatie;1.842;2013;4;7
Economische Zaken;Medewerker Communicatie;2.8;2013;4;8
Economische Zaken;Medewerker Vervoer;22;2013;4;4
Economische Zaken;Medewerker Vervoer;0;2013;4;5
Economische Zaken;Middenmanager;42.778;2013;4;12
Economische Zaken;Middenmanager;129.944;2013;4;13
Economische Zaken;Middenmanager;120.812;2013;4;14
Economische Zaken;Middenmanager;131.814;2013;4;15
Economische Zaken;Middenmanager;19.695;2013;4;16
Economische Zaken;Onderzoeksmedewerker;39.309;2013;4;8
Economische Zaken;Onderzoeksmedewerker;32.443;2013;4;10
Economische Zaken;Onderzoeksmedewerker;8.853;2013;4;11
Economische Zaken;Onderzoeksondersteuner;15.278;2013;4;4
Economische Zaken;Onderzoeksondersteuner;0;2013;4;5
Economische Zaken;Onderzoeksondersteuner;82.368;2013;4;6
Economische Zaken;Onderzoeksondersteuner;1;2013;4;7
Economische Zaken;Onderzoeksondersteuner;27.621;2013;4;8
Economische Zaken;Operationeel Manager;2.889;2013;4;8
Economische Zaken;Operationeel Manager;2;2013;4;10
Economische Zaken;Operationeel Manager;14.945;2013;4;11
Economische Zaken;Operationeel Manager;122.658;2013;4;12
Economische Zaken;Operationeel Manager;0;2013;4;13
Economische Zaken;Project-/Programmadirecteur;1;2013;4;15
Economische Zaken;Project-/Programmadirecteur;3.056;2013;4;16
Economische Zaken;Project-/Programmadirecteur;3.167;2013;4;17
Economische Zaken;Project-/Programmamanager;16.698;2013;4;13
Economische Zaken;Project-/Programmamanager;31.083;2013;4;14
Economische Zaken;Project-/Programmamanager;5.5;2013;4;15
Economische Zaken;Projectleider;65.365;2013;4;11
Economische Zaken;Projectleider;68.601;2013;4;12
Economische Zaken;Projectleider;13.495;2013;4;13
Economische Zaken;Senior Adviseur Bedrijfsvoerin;134.797;2013;4;11
Economische Zaken;Senior Adviseur Bedrijfsvoerin;209.772;2013;4;12
Economische Zaken;Senior Adviseur Bedrijfsvoerin;67.1;2013;4;13
Economische Zaken;Senior Inspecteur;357.115;2013;4;11
Economische Zaken;Senior Inspecteur;219.04;2013;4;12
Economische Zaken;Senior Inspecteur;52.427;2013;4;13
Economische Zaken;Strategisch Adviseur;4;2013;4;15
Economische Zaken;Strategisch Adviseur;3.895;2013;4;16
Economische Zaken;Strategisch Beleidsmedewerker;4;2013;4;15
Economische Zaken;Strategisch Beleidsmedewerker;1;2013;4;16
Economische Zaken;Strategisch Inspecteur;4;2013;4;16
Economische Zaken;Topmanager;1;2013;4;15
Economische Zaken;Topmanager;27.668;2013;4;16
Economische Zaken;Topmanager;35.974;2013;4;17
Economische Zaken;Topmanager;6.278;2013;4;18
Economische Zaken;Topmanager;0;2013;4;19
Economische Zaken;Topwetenschappelijk Medewerker;0.154;2013;4;17
Economische Zaken;Wetenschappelijk Medewerker;11.889;2013;4;10
Economische Zaken;Wetenschappelijk Medewerker;13.588;2013;4;11
Economische Zaken;Wetenschappelijk Medewerker;44.568;2013;4;12
Economische Zaken;Wetenschappelijk Medewerker;14.837;2013;4;13
Financien;(Senior) Adviseur;36.845;2013;4;11
Financien;(Senior) Adviseur;79.894;2013;4;12
