"61";"Algemene Zaken";"kern";"Medewerker Behandelen en Ontwikkelen S08";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;0,889;0,889;0,889;0,889;0,889;0,889;NA;NA;NA;NA;NA;NA
"62";"Algemene Zaken";"kern";"Medewerker Behandelen en Ontwikkelen S09";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1,277
"63";"Algemene Zaken";"kern";"Medewerker Behandelen en Ontwikkelen S10";11;11;13;12;11;12;13;12;12,389;11,389;10,389;12,389;12,611;12,611;12,611;9,611;9,611;9,611;9,611;10,611;10,833;9,833;7,833;7,833;7,833
"64";"Algemene Zaken";"kern";"Medewerker Behandelen en Ontwikkelen S11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,95;0,95;0,95;0,95;0,889;NA;NA
"65";"Algemene Zaken";"kern";"Medewerker Communicatie schaal 06";0,889;0,889;0,889;0,889;0,889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"66";"Algemene Zaken";"kern";"Medewerker Facilitair Management S04";5,356;4,356;4,356;4,356;4,356;4,356;4,356;4,356;4,356;4,356;4,356;4,356;4,356;4,3;4,3;3,8;3,8;5,8;5,8;5,8;5,8;5,8;5,8;4,8;4,8
"67";"Algemene Zaken";"kern";"Medewerker Facilitair Management S07";7,389;6,5;6,139;6,111;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5,778;5,778;5,778;5,778
"68";"Algemene Zaken";"kern";"Medewerker ICT/Techniek/Inf.beh./DIV S06";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"69";"Algemene Zaken";"kern";"Medewerker ICT/Techniek/Inf.beh./DIV S07";3,625;3,625;4,625;4,625;5,069;5,069;5,069;5,069;5,292;5,292;5,292;4,292;4,292;4,292;4,292;4,292;4,292;4,292;4,292;4,292;4,292;4,292;4,292;4,292;4,292
"70";"Algemene Zaken";"kern";"Medewerker ICT/Techniek/Inf.beh./DIV S08";2,889;2,889;2,889;2,889;3,889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
